,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
ELL2,0.03069904,0.037041232,0.3649888,0.060598187,0.18197,0.043010756,0.1060606
WIPF1,0.004038422,0.33103457,0.128871,0.19444357,0.045075122,0.01344086,0.21284272
IGKV1-17,0.015920747,0.007991483,0.33413932,0.018208748,0.007630461,0.0030743256,0.037649404
DBN1,0.015726507,0.032377593,0.013774438,0.013758874,0.33305505,0.15591393,0.025252525
RPS3A,0.08139252,0.26024532,0.13953051,0.38420984,0.0680409,0.05330461,0.13433461
RGP1,0.030730939,0.035855465,0.02532562,0.027308196,0.0116861425,0.34139773,0.01010101
CXCL12,0.0033222584,0.002258611,0.004341534,0.0065019503,0.32924703,0.03225806,0.025252525
MT1G,0.3255061,0.0011293055,0.011215631,0.0013003901,0.112932816,0.012858423,0.015151516
A2M-AS1,0.0013842747,0.002258611,0.0,0.0026007802,0.0948942,0.32842743,0.06565657
NME7,0.32382315,0.006775832,0.009406658,0.00783855,0.015423615,0.011938302,0.0
RBM6,0.22220731,0.3038201,0.28134483,0.56061506,0.24624395,0.27362084,0.21464652
KCNA3,0.0019725915,0.25719878,0.2619814,0.08449756,0.003338898,0.002688172,0.025252525
CSDE1,0.16397439,0.40057778,0.5167413,0.36189404,0.41404033,0.46236527,0.2757422
PHC1,0.24866274,0.06939583,0.05651231,0.07620286,0.11752925,0.16129026,0.37929305
ITGA4,0.013981163,0.28043574,0.13169298,0.20221065,0.008347245,0.005376344,0.23737378
IGLV7-46,0.0049833884,0.004517222,0.31855857,0.014623743,0.009181969,0.0,0.012626262
IGHV7-4-1,0.0056689745,0.002258611,0.31335944,0.0021673169,0.0,0.0,0.005892256
CALR,0.15876466,0.15169035,0.4332909,0.17448801,0.1953639,0.11827954,0.3434344
MT-ND3,0.43097124,0.12179039,0.26303825,0.10291016,0.13623999,0.16263433,0.14175086
LTB,0.0017995571,0.18198144,0.006512301,0.2982222,0.006677796,0.002688172,0.091793805
CEACAM7,0.3136025,0.007848672,0.022448832,0.0026007802,0.008347245,0.0,0.005050505
ITGA5,0.0008305648,0.021456804,0.002170767,0.00780234,0.2387314,0.2535841,0.015151516
TBL3,0.31570286,0.0062111793,0.013386399,0.0130039,0.0116861425,0.0,0.015151516
NRDE2,0.33207116,0.03143234,0.074602,0.04218873,0.0876917,0.25149035,0.19222252
SPSB1,0.011212619,0.0039525693,0.002170767,0.0065019503,0.31428772,0.051075272,0.0
MFGE8,0.0052602435,0.009599094,0.003617945,0.0072821844,0.31331024,0.029569888,0.0
FOXP1,0.14724617,0.27945542,0.042739898,0.2489481,0.19999677,0.40702844,0.16092235
LINC00632,0.005213839,0.004599577,0.033362105,0.0013003901,0.3122595,0.010623141,0.0
AFAP1-AS1,0.11358266,0.011293052,0.0050651226,0.0,0.10021163,0.31720412,0.01010101
TOB1,0.36546177,0.10909081,0.058720835,0.032509755,0.13702762,0.07795699,0.045454547
FAAP20,0.36901915,0.06321654,0.057219826,0.055916786,0.053877663,0.12647513,0.07878788
UTRN,0.032738134,0.13685855,0.056232013,0.1391417,0.20868127,0.3736557,0.0959596
ALDH1A1,0.13163812,0.0008469791,0.012301015,0.0013003901,0.31719518,0.11559136,0.035353534
RPS14,0.11889195,0.30860496,0.227421,0.4195882,0.14436892,0.12532145,0.13940477
HIF1A,0.07239025,0.15507738,0.058330175,0.26015574,0.13673,0.29596582,0.354491
ANXA1,0.009966776,0.10688904,0.013748193,0.023407025,0.33163264,0.15860212,0.1161616
AHNAK2,0.0022148394,0.0,0.000723589,0.0013003901,0.3071786,0.07526882,0.005050505
ATP1B1,0.35053402,0.06424983,0.074518755,0.059395432,0.038431108,0.028580585,0.050562643
IGKV2D-18,0.00030981385,0.0005646527,0.3029371,0.0091404915,0.0,0.0032258066,0.005892256
RPL34,0.18915834,0.40658382,0.20394444,0.4794728,0.2910544,0.24899618,0.19914106
PRNP,0.013981162,0.11038946,0.05933431,0.062418744,0.35726196,0.072580636,0.09595959
IL1B,0.0033222586,0.0,0.001447178,0.0013003901,0.0041736225,0.0,0.30037042
C1QA,0.0017165003,0.0037780358,0.0050651236,0.01378013,0.001669449,0.001344086,0.3030302
MAP4,0.13955283,0.18177012,0.1278345,0.13047343,0.37065536,0.38710186,0.18686871
SETD6,0.38761893,0.076792754,0.07280741,0.081274375,0.09699501,0.13037631,0.17173398
VMP1,0.31595287,0.14292729,0.06266644,0.063938834,0.3351392,0.11021503,0.17171718
CIITA,0.25276065,0.08331576,0.13160889,0.12730834,0.3072079,0.39779305,0.19958758
GALNT15,0.0012458472,0.0011293055,0.000723589,0.0026007802,0.30061975,0.01344086,0.005050505
SARAF,0.039685782,0.32118586,0.12555687,0.26704353,0.047271468,0.053763445,0.13636363
MAP3K12,0.37526184,0.0626765,0.05355838,0.061118353,0.14777291,0.14517453,0.13131312
CNTD1,0.3535355,0.0372671,0.06078364,0.057229936,0.06844742,0.17741928,0.106060594
MAT2A,0.06428879,0.0894974,0.06150508,0.050065037,0.36673963,0.14357215,0.08585859
STAT3,0.06252108,0.18123257,0.07163529,0.12448745,0.32846993,0.32795975,0.13131313
DPYSL2,0.01197397,0.013833989,0.003617945,0.0130039,0.29847088,0.15591392,0.04040404
ASPH,0.068846405,0.0050818743,0.026772797,0.0156046795,0.3188855,0.1317204,0.035353534
RNASET2,0.037299953,0.10714098,0.11130989,0.17926648,0.0371527,0.0108893635,0.3319248
CXCL2,0.017649496,0.0047995476,0.0068740956,0.0013003901,0.15777025,0.2930107,0.04040404
PDK1,0.026816152,0.03516663,0.32295954,0.027308198,0.0116861425,0.061827958,0.03030303
ZFAND5,0.035197165,0.06471214,0.056874108,0.04422153,0.35008323,0.0744124,0.123737365
IGKV1-6,0.014047007,0.007532072,0.301037,0.012973831,0.0018310086,0.0036203607,0.012157287
MGST1,0.08938235,0.002258611,0.032561507,0.0026007802,0.30493245,0.0077914465,0.01010101
RPS2,0.12395971,0.24238788,0.27902204,0.3087783,0.054111432,0.048389275,0.08799566
TMEM184A,0.20021242,0.015316643,0.028943565,0.01430429,0.07178631,0.30376327,0.06565657
CTSZ,0.4745207,0.23217756,0.16760637,0.37972784,0.30797142,0.4027128,0.42424256
CCDC85C,0.3933127,0.0927159,0.09479006,0.0897269,0.115198456,0.18548378,0.2121213
FBLN5,0.0029069763,0.011293053,0.000723589,0.0013003901,0.2972952,0.026881717,0.0
PAQR3,0.28450853,0.012422358,0.022431264,0.065019526,0.058430705,0.118279524,0.25252524
GPR85,0.16681941,0.11099567,0.38041735,0.15066576,0.37419382,0.31073123,0.25618565
RNASE1,0.02442359,0.0011293055,0.005788712,0.0052015604,0.0050083473,0.24197981,0.22222221
IGHV3-20,0.0014079313,0.0004658385,0.29049838,0.0013003901,0.00038258207,0.0,0.0008417509
SMARCA5-AS1,0.32375333,0.43591276,0.38096985,0.49302617,0.545947,0.4650447,0.6565655
ATF7IP,0.040007103,0.31056133,0.13681558,0.27698973,0.050083473,0.06989247,0.116161615
SEMA6A,0.118536346,0.00846979,0.018089728,0.010923277,0.03839733,0.30568936,0.02020202
CERKL,0.006140801,0.12765506,0.14905854,0.096958265,0.0116861425,0.0,0.3030303
CPVL,0.008582504,0.0011293055,0.0044862516,0.0013003901,0.0584307,0.005376344,0.29561645
IGHV3-69-1,0.0048522474,0.0013841438,0.29017934,0.003043191,0.00038258207,0.0006518424,0.0071829404
SLC2A3,0.00439714,0.30501348,0.040520992,0.22166507,0.19115202,0.17204298,0.07070707
MRPS22,0.36607364,0.056468308,0.16218607,0.05721718,0.15696561,0.236559,0.12626262
BLOC1S5-TXNDC5,0.0077910763,0.0047054384,0.29842106,0.011703512,0.015859768,0.022422086,0.01010101
GFPT2,0.0012458472,0.0039525693,0.001447178,0.0,0.28932127,0.008064516,0.005050505
SSR4,0.18063743,0.18215649,0.44263378,0.18868326,0.16193666,0.11021504,0.16666672
SP110,0.009737986,0.1468099,0.034742627,0.3270823,0.038397327,0.08333333,0.09343434
BRF2,0.0071290145,0.0019762847,0.001447178,0.0026007802,0.12353927,0.28629017,0.015151516
NEXN-AS1,0.0034606857,0.0005646527,0.002894356,0.0013003901,0.29143664,0.059139792,0.0
CYBA,0.054356065,0.09542193,0.28560993,0.19403517,0.050083462,0.018817203,0.2578887
HAS2,0.009608349,0.0017012643,0.001447178,0.0013003901,0.29103383,0.024377916,0.0
RTN4,0.06026253,0.048804853,0.042693634,0.052155174,0.34581363,0.118291125,0.106060594
SEMA3C,0.016665362,0.0005646527,0.001447178,0.0,0.2888147,0.0,0.005050505
CNNM2,0.36879572,0.056896593,0.08912765,0.071522124,0.09962039,0.13067107,0.17474888
OSMR,0.0065898714,0.004517222,0.002170767,0.0026007802,0.27381787,0.15053758,0.005050505
GAB1,0.033076324,0.0028232636,0.30904368,0.023840485,0.08191711,0.0483871,0.01010101
SULF1,0.00055370986,0.0005646527,0.002170767,0.0,0.116861485,0.27956975,0.0
COQ6,0.29946953,0.01938777,0.019536907,0.010434837,0.016026711,0.029569888,0.005050505
ABLIM1,0.042416167,0.10841319,0.0079594795,0.06371913,0.3180502,0.1317204,0.015151516
EBF1,0.007812968,0.010518773,0.015615891,0.037928052,0.30089837,0.047122326,0.01010101
LMO3,0.024668628,0.0005646527,0.0009631615,0.0,0.2854844,0.0,0.0
LPAR1,0.011074191,0.0028232636,0.000723589,0.0013003901,0.28881475,0.002688172,0.045454547
ATM,0.019695498,0.26567417,0.115121685,0.26377854,0.062094264,0.017741935,0.080878235
CDC42BPB,0.2952057,0.004517222,0.018089727,0.011053315,0.028380638,0.08064517,0.005050505
CRTAP,0.031192014,0.057642773,0.057163544,0.069008686,0.33472446,0.1667155,0.1262626
CADM3-AS1,0.00041528238,0.0,0.0,0.0026007802,0.28282177,0.032258064,0.0
GPANK1,0.40497684,0.5097484,0.3064129,0.5700022,0.41549966,0.2715052,0.39309776
CTTNBP2NL,0.07360681,0.0039525693,0.006512301,0.013003901,0.0617696,0.300179,0.11616161
GSTP1,0.12925157,0.06979214,0.18429771,0.06371913,0.19157447,0.12096771,0.37049428
KMO,0.12500371,0.0062111793,0.018813318,0.04811445,0.008347245,0.024193546,0.29292938
ANK2,0.03254274,0.004162368,0.007456456,0.004563299,0.28812683,0.025099056,0.005863508
CEACAM5,0.28370494,0.004968943,0.021087455,0.0018638925,0.00851419,0.002688172,0.008080808
IGKV1D-16,0.0062069767,0.0038681854,0.28246483,0.00508711,0.003110933,0.0034946236,0.016624752
RAC2,0.0096207075,0.18917294,0.08393627,0.2795953,0.008347245,0.008064516,0.090974905
OAZ3,0.2252336,0.15206286,0.15242936,0.19383319,0.16548425,0.4486644,0.23609771
PREPL,0.30243826,0.03334799,0.020984085,0.020806242,0.04507512,0.032258064,0.015151516
PDIA3,0.35152966,0.23236965,0.35121852,0.21009453,0.46178764,0.26215366,0.4652652
PKHD1L1,0.002631356,0.0011293055,0.013030307,0.01690507,0.0,0.28026688,0.0
MUC13,0.28101563,0.002258611,0.026052978,0.0,0.005087956,0.002688172,0.005050505
PTTG1IP,0.13129719,0.04291363,0.054269187,0.03641093,0.26655167,0.28428683,0.15656565
LPP,0.1288056,0.04658388,0.035303157,0.0702823,0.33340108,0.14050625,0.060618233
CKB,0.29261,0.014116315,0.03798843,0.005851755,0.053422358,0.008064516,0.015151516
CAVIN2,0.0013842747,0.0,0.0,0.0,0.01502504,0.2771219,0.005050505
RPL13A,0.14663312,0.31583476,0.22716077,0.45951605,0.29668736,0.18392058,0.23653202
LAMA4,0.0011074197,0.0,0.001447178,0.0,0.26878136,0.115591384,0.0
BGN,0.0016611296,0.0005646527,0.0018813313,0.0013003901,0.20534235,0.22043009,0.0
CITED2,0.06498772,0.17466742,0.33871254,0.07802339,0.12728536,0.037634406,0.07575757
PLLP,0.22224066,0.08382317,0.12240859,0.095711686,0.16881977,0.38185513,0.13642366
CLMAT3,0.005813953,0.0025409374,0.0079594795,0.0052015604,0.2824094,0.024193546,0.02020202
IGHV4-4,0.003862865,0.0059331306,0.27754816,0.011181463,0.00055648305,0.0,0.0123672625
FTX,0.4236234,0.16642061,0.120133966,0.1846522,0.2246524,0.31148612,0.19769461
OMD,0.014603755,0.0016939582,0.003617945,0.0013003901,0.28213695,0.06451613,0.015151516
RPL30,0.103876136,0.2713536,0.15678284,0.36789027,0.11618018,0.10773386,0.11652256
RPL7A,0.09361981,0.25340334,0.1945843,0.3449479,0.07333672,0.08342849,0.12471468
CXCR4,0.005675526,0.17233436,0.025325619,0.26497188,0.0050083473,0.008064516,0.05050505
SH3PXD2B,0.002768549,0.0011293055,0.002894356,0.0026007802,0.28046757,0.034946233,0.070707075
KCP,0.1312063,0.12670787,0.07308246,0.13394012,0.19467661,0.18010743,0.3889824
PLA2G2A,0.075639844,0.0028232636,0.0050651226,0.0039011703,0.27517217,0.002688172,0.0
RPN1,0.09205673,0.10276778,0.3852779,0.10403117,0.19818199,0.15865687,0.15656567
DPT,0.002238768,0.00028232636,0.0018089724,0.0,0.2707359,0.004032258,0.0016835018
IER2,0.16097826,0.14471222,0.34467512,0.13003895,0.30971432,0.11827955,0.08080809
TBXAS1,0.0070598028,0.013551663,0.048480473,0.05201562,0.0050083473,0.0,0.28282836
RPS23,0.11641703,0.26703858,0.18512492,0.35687172,0.0751252,0.10817687,0.13490444
RALGAPA2,0.035110038,0.04009037,0.013748191,0.026007807,0.006677796,0.2876343,0.015151516
PRICKLE3,0.32556558,0.040316228,0.09840796,0.051459562,0.07345576,0.0483871,0.07575758
LIFR,0.0012458471,0.0,0.0,0.0,0.15025046,0.24732362,0.005050505
SMCHD1,0.056128655,0.30200717,0.16170116,0.3002766,0.09201531,0.09139782,0.14244865
PPL,0.013427453,0.0,0.003617945,0.0013003901,0.2704508,0.018817203,0.0
CANX,0.1714451,0.0985318,0.39167675,0.100801,0.22564068,0.24193536,0.21212123
CD7,0.0122164665,0.28336987,0.021439983,0.047460716,0.010016694,0.002688172,0.040404044
TRBC2,0.0029069763,0.2766923,0.019937398,0.08763299,0.0041736225,0.003763441,0.03787879
ARHGEF12,0.08419805,0.054407153,0.039505493,0.027706843,0.18916911,0.28936833,0.035353538
SLC26A3,0.27055246,0.0050818743,0.031114332,0.0026007802,0.0050083473,0.0,0.015151516
DDX17,0.11905207,0.3405394,0.28162992,0.34538403,0.38247758,0.29569876,0.16161619
DCAF13,0.14032534,0.23376787,0.17583202,0.30208167,0.3706174,0.40053737,0.21212123
MCF2L2,0.27488866,0.0062432755,0.008971487,0.0013003901,0.0116861425,0.040322583,0.06639642
PPT1,0.010243631,0.05081878,0.054992776,0.061118357,0.13856435,0.06989248,0.30303037
PIM2,0.0065188515,0.069452316,0.2757527,0.065019526,0.0050083473,0.002688172,0.02020202
RPL12,0.17511158,0.2740366,0.29564866,0.3741454,0.14536083,0.13898632,0.11683593
RPL14,0.116242975,0.27955025,0.2097107,0.3796355,0.15624258,0.12097426,0.14296308
KCTD12,0.005052602,0.0011293055,0.006512301,0.0078023407,0.013355591,0.26612893,0.07575758
HAS2-AS1,0.0077519403,0.0,0.000723589,0.0,0.26185194,0.02956989,0.0
ITM2C,0.28554422,0.044700872,0.19586071,0.05396621,0.06777962,0.030913977,0.05555556
LENG9,0.35699543,0.098814115,0.08321269,0.122725874,0.0884808,0.19356647,0.13636363
KIT,0.005042187,0.039254826,0.0043889936,0.0030502847,0.0016892082,0.000932391,0.2626263
MCTP1,0.035201915,0.007905137,0.001447178,0.01560468,0.010016694,0.2715053,0.06565657
SLCO2A1,0.0096899215,0.0005646527,0.0,0.0,0.003338898,0.2581346,0.005050505
STK17A,0.08648525,0.23173922,0.047756884,0.3031637,0.09849753,0.09408601,0.065656565
RSPH9,0.2996796,0.03099885,0.047901604,0.03782048,0.0409015,0.05695608,0.08080808
TNFRSF1A,0.20182513,0.039525714,0.013265801,0.017555267,0.15529232,0.25806436,0.12672056
IGLV3-10,0.011291625,0.0014116318,0.11790812,0.005851755,0.0041736225,0.2534864,0.008417509
SYCP3,0.27298823,0.012422358,0.019536907,0.041612495,0.030050086,0.018817203,0.12626262
SYTL4,0.019702844,0.0,0.004341534,0.0026007802,0.26126894,0.024193546,0.005050505
SAMSN1,0.0011126755,0.1672781,0.047033295,0.06371913,0.006677796,0.0,0.24747479
TAGLN,0.23855658,0.020609837,0.024240237,0.015604683,0.20784643,0.061827965,0.030303033
THAP3,0.282473,0.017504234,0.02604921,0.01820546,0.045075115,0.061827965,0.03030303
CFH,0.006214283,0.0011857707,0.0004341534,0.00065019506,0.25410056,0.08707496,0.0
LYSMD4,0.05434003,0.0073404843,0.02604921,0.029908977,0.06343906,0.28498456,0.1111111
AKNA,0.014444004,0.2621864,0.08610702,0.19830959,0.037910406,0.02219027,0.13636363
EGFL7,0.003460686,0.0005646527,0.001447178,0.0013003901,0.0050083473,0.25403214,0.005050505
HLA-DQB1-AS1,0.00027685493,0.0033879164,0.001447178,0.06245491,0.0,0.010752688,0.2570916
HSPB1,0.16856526,0.09959106,0.29138348,0.2501656,0.26764473,0.40068597,0.24606535
IGHV2-70,0.0008767073,0.0021645022,0.25361052,0.011053316,0.0,0.002688172,0.0025252525
GFRA1,0.00055370986,0.0,0.000723589,0.0,0.2511937,0.002688172,0.0
ANXA2,0.11865687,0.022165377,0.05617967,0.01820546,0.2744549,0.19448794,0.08838384
ZBTB25,0.07148588,0.33105445,0.11453947,0.23151824,0.090150274,0.09347095,0.14646465
YBX3,0.01939369,0.011884316,0.01664255,0.00780234,0.11602676,0.2607526,0.02020202
ARGLU1,0.15062024,0.3682217,0.15125278,0.3448299,0.23029864,0.34685954,0.21212126
GPRIN3,0.03356883,0.18684526,0.023878442,0.01430429,0.01502504,0.008064516,0.23233931
EPCAM,0.24647838,0.012422357,0.15068647,0.0052015604,0.010851419,0.022849461,0.02020202
ITK,0.0008305648,0.2541313,0.002170767,0.019505853,0.0050083473,0.0,0.005050505
HEG1,0.002076412,0.014304533,0.000723589,0.00780234,0.09348917,0.25272903,0.0
VPS13A-AS1,0.32181156,0.13943043,0.086107016,0.106631935,0.10517533,0.27956972,0.12626262
CORO1A,0.0094822785,0.19873591,0.054892663,0.23239757,0.01502504,0.00672043,0.116161615
RPL32,0.07557365,0.22993888,0.1364126,0.30731162,0.06471044,0.07526883,0.09090909
SWAP70,0.013427454,0.023150766,0.009406658,0.2316115,0.09515862,0.2137096,0.070707075
EGFR,0.026439672,0.0011293055,0.003617945,0.0013003901,0.25375643,0.01344086,0.0
KIFC1,0.4483367,0.33089146,0.2247748,0.47640806,0.2629356,0.32945558,0.40147594
PARP8,0.006153739,0.26763913,0.030463103,0.07065455,0.025041739,0.008064516,0.025007466
HTRA1,0.0022148394,0.0,0.001447178,0.0,0.25041756,0.037634406,0.0
IL2RG,0.020097252,0.24677019,0.17387013,0.12170244,0.0058430717,0.005376344,0.07575758
PRSS23,0.025462437,0.0028232636,0.004341534,0.0033354138,0.112854786,0.24764988,0.005050505
YIPF2,0.30904034,0.023715422,0.08104193,0.050065033,0.12186985,0.13440856,0.13131312
HDLBP,0.08956228,0.054206703,0.31512284,0.05140109,0.13856435,0.080686405,0.07575758
RPS9,0.10624332,0.22882712,0.18084994,0.349009,0.1281124,0.067741945,0.17003368
LMNA,0.09759092,0.035893105,0.17222261,0.0065019503,0.24876451,0.2195943,0.07575757
TAGAP,0.0029069763,0.21468043,0.12445719,0.19568586,0.008347245,0.0,0.0530303
FKBP11,0.0060843276,0.018596912,0.2536321,0.01535655,0.005342237,0.010690268,0.00013980093
IGLV10-54,0.005260244,0.0050818743,0.24835029,0.0052015604,0.001669449,0.0,0.007575758
IGKV3D-11,0.020060115,0.012997142,0.26129335,0.022886205,0.07004233,0.007440476,0.013227515
IGHV1-69,0.005065784,0.005577514,0.24797395,0.013870828,0.0021563717,0.003360215,0.0008417509
TRIM14,0.27010942,0.036164105,0.047778506,0.03641093,0.0050083473,0.01344086,0.050505053
F13A1,0.00027685493,0.0005646527,0.000723589,0.0,0.0,0.0,0.24242426
MKRN2,0.2974866,0.057876952,0.08567768,0.04811445,0.12020039,0.22134143,0.15657218
FAU,0.085393585,0.24818775,0.16245905,0.37154517,0.15931323,0.15332589,0.18926768
CCDC157,0.05922181,0.301645,0.09261929,0.2649869,0.11268785,0.16667114,0.21212126
PMS1,0.14415523,0.32622448,0.19681565,0.2366711,0.123535894,0.096774176,0.3131314
PTGDS,0.0008305648,0.004347826,0.004258838,0.0064694406,0.24616317,0.025885519,0.0
CLIP3,0.0034606857,0.004112395,0.000723589,0.0026007802,0.24707866,0.016129032,0.02020202
FLT1,0.004769863,0.0005646527,0.001447178,0.0,0.001669449,0.2420444,0.005050505
STC1,0.00027685493,0.0005646527,0.0,0.0013003901,0.0,0.23952541,0.005050505
CMTM7,0.08066135,0.057617694,0.04088279,0.07217166,0.03208196,0.045698926,0.28787887
FKBP9,0.08546502,0.0,0.008222603,0.0026007802,0.20673795,0.18682788,0.020375274
CD93,0.00055370986,0.0,0.0,0.00043346337,0.001669449,0.22960189,0.111111104
HCLS1,0.0039451816,0.14740698,0.083212666,0.15994798,0.006677796,0.008064516,0.22727276
CTNS,0.25940996,0.005646527,0.0072358903,0.0156046795,0.07512522,0.05645162,0.04040404
SLC5A2,0.27626562,0.017504232,0.07125764,0.020806242,0.08180302,0.064516135,0.04040738
GPC3,0.0014893495,0.0028755285,0.001503735,0.00071343547,0.23707275,0.002688172,0.00076474244
AKAP13,0.12165329,0.21571103,0.09225479,0.19068305,0.16371804,0.1129032,0.35353547
RPL10A,0.12522334,0.29343724,0.3003642,0.37264597,0.17031111,0.17326078,0.21034081
AIF1,0.0008305648,0.008469789,0.001447178,0.0052015604,0.0,0.0,0.23737375
CNBP,0.117148444,0.21191159,0.24611068,0.22756836,0.34856284,0.34408924,0.14654607
RAD9A,0.2797273,0.034454674,0.04128715,0.049414836,0.03176743,0.064516135,0.09642446
SELL,0.00027685493,0.19311087,0.005788712,0.19245774,0.006677796,0.01344086,0.04040404
CNN3,0.03965955,0.0039525693,0.014884932,0.0065019503,0.16362993,0.22312832,0.02020202
MYADM,0.03074034,0.05787859,0.08176551,0.020806244,0.26300135,0.15328413,0.03030303
PTPRE,0.016837256,0.032185216,0.01664255,0.00780234,0.003338898,0.16935481,0.21717176
FCGBP,0.24244486,0.011293053,0.023154851,0.0026007802,0.010016694,0.005376344,0.005050505
NR4A3,0.0048449608,0.23035109,0.096360035,0.06762029,0.18697836,0.01344086,0.03030303
SAR1B,0.0865954,0.0819029,0.30127296,0.061118353,0.06343905,0.065568164,0.065656565
FKBP5,0.051371653,0.15966703,0.059334308,0.06762029,0.26878145,0.10612088,0.2325258
PGK1,0.11783539,0.3224071,0.106044225,0.20270789,0.13021709,0.26216483,0.28282836
BRD7,0.03698336,0.071202725,0.03541274,0.076723,0.040066775,0.041666668,0.27777785
ANKRD28,0.036263365,0.050751243,0.26535287,0.023407023,0.04340567,0.05107527,0.015151516
PCK1,0.24264495,0.009034443,0.04214889,0.0026007802,0.01502504,0.005376344,0.01010101
IQGAP1,0.108185716,0.26905653,0.14668322,0.17100129,0.23038416,0.3010751,0.34848493
POM121,0.35107893,0.15125586,0.17761172,0.18248814,0.12591176,0.094623655,0.10143625
SLC25A26,0.26424158,0.05430115,0.02603098,0.03381015,0.07345576,0.13172041,0.02020202
TPM4,0.07162593,0.0379312,0.14624268,0.052694514,0.11743943,0.29147455,0.073737375
WDR83,0.22225733,0.057029963,0.17293735,0.061491862,0.17727466,0.2930521,0.2245211
OLFM4,0.24223095,0.010163747,0.029667156,0.0039011703,0.010016694,0.010752688,0.015151516
CLEC14A,0.0009689923,0.0,0.001447178,0.00065019506,0.0050083473,0.23122175,0.0
EIF2S3,0.18409885,0.27431077,0.23522404,0.43369752,0.2031455,0.18548381,0.26311752
TRAM1,0.030108012,0.07492394,0.2905932,0.068920694,0.16527557,0.110215046,0.08587307
KLF6,0.23777108,0.38040775,0.32379612,0.34895644,0.19327357,0.17769012,0.17676769
PDCD4,0.17400564,0.24590558,0.2797346,0.17885688,0.0684474,0.23387086,0.05555556
IFNGR1,0.028525325,0.04432527,0.021707674,0.039011713,0.11085148,0.07795699,0.2676768
PID1,0.0070598028,0.0005646527,0.002894356,0.0,0.23539247,0.008064516,0.03030303
GEMIN7-AS1,0.31583592,0.09655735,0.30681837,0.18842658,0.11519204,0.15860209,0.17677999
GSN-AS1,0.045915633,0.0059288535,0.0003617945,0.0052015604,0.07846414,0.071236566,0.24656491
TCF7L2,0.14466265,0.009034442,0.017221421,0.0026007802,0.22871473,0.096774176,0.025252525
JCAD,0.00027685493,0.0011293055,0.00074537675,0.0039011703,0.023372289,0.23118274,0.0
SYNC,0.35468945,0.07698216,0.17093287,0.16499501,0.12901784,0.1935483,0.19191921
NFIB,0.045407537,0.0045131333,0.008808569,0.006089098,0.15648523,0.21372375,0.01010101
NEIL1,0.22939223,0.023433093,0.036179457,0.04941484,0.05914619,0.21505365,0.106060594
LAMB2,0.0062292367,0.0,0.004341534,0.0,0.21368964,0.12634405,0.0
MT1E,0.08393239,0.0028232636,0.01193922,0.0026007802,0.23496065,0.09274193,0.005050505
CD163,0.0009689923,0.00077433704,0.001447178,0.0,0.0,0.0,0.22727276
LINGO3,0.013842735,0.044889912,0.013024604,0.19245784,0.0,0.0,0.18181819
PRMT7,0.24008158,0.016374925,0.014576818,0.018855656,0.006677796,0.010752688,0.015151516
PIK3IP1,0.04668308,0.23364906,0.014905936,0.14399871,0.021702839,0.008064516,0.025252525
SFRP1,0.002076412,0.0005646527,0.000723589,0.0,0.22764045,0.004032258,0.0
ARHGAP31,0.004706533,0.0073404848,0.013748193,0.01820546,0.01502504,0.24059129,0.035353534
CFLAR,0.05768951,0.09271724,0.31001303,0.08607995,0.097954966,0.16557804,0.10613593
COL4A1,0.0013842747,0.0005646527,0.000723589,0.0,0.20701179,0.13172041,0.0
ARHGAP9,0.0033210916,0.2267075,0.01736614,0.10637184,0.001669449,0.0,0.1010101
CES2,0.24945931,0.020892153,0.052680377,0.021456439,0.0125208665,0.030913977,0.022727272
AOX1,0.0009689923,0.00028232636,0.000723589,0.0,0.22544686,0.0,0.0
NIT1,0.14336698,0.17052473,0.086830586,0.14954482,0.22704524,0.35483852,0.1919192
IGLV3-32,0.0002076412,0.0005646527,0.22485761,0.0,0.0,0.0,0.0
RANBP2,0.06879917,0.31826612,0.26021072,0.157823,0.13751219,0.12459195,0.17336197
HMGN3-AS1,0.13245922,0.2544532,0.27247187,0.4232219,0.2825218,0.2939394,0.2828283
NONO,0.14233847,0.35023805,0.16771953,0.3667104,0.2662277,0.2956988,0.25790143
NOP9,0.247122,0.014578797,0.02858177,0.016644992,0.020868111,0.04650538,0.10353534
PRG4,0.034412317,0.019837929,0.0079594795,0.011703511,0.24040072,0.010752688,0.02020202
RCSD1,0.0025205433,0.12729947,0.046309706,0.24170806,0.0050083473,0.03763441,0.085858576
COL4A2,0.009966775,0.0,0.002170767,0.0026007802,0.18697837,0.16401061,0.0
PDK4,0.03273813,0.0039525693,0.0072358903,0.00780234,0.23706186,0.06720431,0.10606059
UGDH,0.13475274,0.017504232,0.09134277,0.013003901,0.23555402,0.018817203,0.022730453
MAML2,0.056409325,0.18016993,0.04344697,0.098829605,0.27212018,0.10752686,0.045454547
MYL6,0.37062767,0.16361648,0.17757353,0.2252836,0.29407212,0.3573072,0.31868693
IGHV3-64D,0.0028731786,0.0005646527,0.22398901,0.0018299607,0.0,0.002688172,0.0
TPM1,0.1721251,0.010970393,0.03835022,0.00910273,0.218698,0.043010753,0.035353534
FGFR1,0.009482152,0.005081875,0.002894356,0.0026007802,0.23011562,0.043010753,0.01010101
DTNB,0.0016611296,0.011293052,0.22685057,0.036410928,0.001669449,0.0,0.0
